Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United States,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",30,100.0,5000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,85000.0
United States,Employed full-time,Medium,Back-end developer,1,Participated in a full-time developer training program or bootcamp,30,61000.0,732000.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,240000.0,240000.0
India,Employed full-time,Medium,Back-end developer,1,Participated in a full-time developer training program or bootcamp,30,216000.0,3381.0
United States,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",7,"Taught yourself a new language, framework, or tool without taking a formal course",30,105000.0,105000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,116500.0,116500.0
India,Employed full-time,Medium,Back-end developer,13,Completed an industry certification program (e.g. MCPD),30,1425000.0,22308.0
United States,Employed full-time,Low,Embedded applications or devices developer,10,Received on-the-job training in software development,30,120000.0,120000.0
United States,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,90000.0
United States,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,66560.0,66560.0
United States,Employed full-time,Medium,DevOps specialist,7,Taken an online course in programming or software development (e.g. a MOOC),30,310000.0,310000.0
United Kingdom,Employed full-time,Low,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,28325.0,39345.0
Germany,Employed full-time,Low,Data scientist or machine learning specialist,1,Taken a part-time in-person course in programming or software development,21,50000.0,61194.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,68000.0,68000.0
United States,Employed full-time,Medium,Back-end developer,16,Received on-the-job training in software development,40,72696.0,72696.0
India,Employed full-time,Medium,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),21,550000.0,8610.0
United States,Employed full-time,Medium,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,145000.0,145000.0
United Kingdom,Employed full-time,Low,Back-end developer,16,Completed an industry certification program (e.g. MCPD),40,71000.0,98622.0
India,Employed full-time,Medium,Mobile developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,2400000.0,37571.0
Germany,Employed full-time,Low,Mobile developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,51000.0,62418.0
Canada,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,72469.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,105328.0,105328.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,111670.0,111670.0
Germany,Employed full-time,Medium,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),50,60000.0,881196.0
Germany,Employed part-time,Medium,Student,0,"Taught yourself a new language, framework, or tool without taking a formal course",30,800.0,11748.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,78000.0,78000.0
United States,Employed full-time,High,Data scientist or machine learning specialist,7,Taken an online course in programming or software development (e.g. a MOOC),30,125000.0,125000.0
India,Employed full-time,Medium,Front-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,7000.0,1320.0
United States,Employed full-time,Medium,Back-end developer,7,Completed an industry certification program (e.g. MCPD),30,118000.0,118000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,120000.0,120000.0
Canada,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,50000.0,40261.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",40,98000.0,98000.0
India,Employed full-time,High,Front-end developer,7,"Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",30,900000.0,14089.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,102000.0,102000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Completed an industry certification program (e.g. MCPD),30,65000.0,1000000.0
United States,Employed full-time,Low,Back-end developer,19,Taken a part-time in-person course in programming or software development,40,95000.0,95000.0
Germany,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,55000.0,67313.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,110000.0,110000.0
United States,Employed full-time,High,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),50,105000.0,105000.0
United States,Employed full-time,Medium,System administrator,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,114999.0,114999.0
Germany,Employed full-time,Low,Designer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,850.0,12480.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,34500.0,47922.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,105000.0,2000000.0
Canada,Employed full-time,Medium,Engineering manager,5,Completed an industry certification program (e.g. MCPD),30,63500.0,51131.0
United States,Employed full-time,Medium,Front-end developer,5,Received on-the-job training in software development,30,70000.0,2000000.0
Germany,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,46000.0,56298.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,425000.0,5869.25
United States,Employed full-time,Medium,Front-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,86500.0,86500.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,142000.0,142000.0
India,Employed full-time,High,Front-end developer,1,Received on-the-job training in software development,30,16000.0,3000.0
United States,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,95000.0,95000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,140000.0,140000.0
United States,Employed full-time,Low,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),40,50000.0,50000.0
India,Employed full-time,Low,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,20000.0,3756.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,63000.0,63000.0
United States,Employed part-time,Medium,Designer,5,Taken an online course in programming or software development (e.g. a MOOC),21,42.5,2100.0
United States,Employed full-time,Medium,Back-end developer,22,Taken an online course in programming or software development (e.g. a MOOC),50,138000.0,138000.0
United States,Employed full-time,Medium,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,70000.0,70000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,75000.0
United States,Employed part-time,Medium,Data scientist or machine learning specialist,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,5000.0,5000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
United States,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,112000.0,112000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,57500.0,2000000.0
India,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,117000.0,21984.0
United States,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,80000.0
Germany,Employed full-time,Medium,Database administrator,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,60000.0,73433.0
United States,Employed full-time,High,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,200000.0,200000.0
United States,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",50,80000.0,80000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken a part-time in-person course in programming or software development,30,106000.0,106000.0
United States,Employed full-time,Medium,Front-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,87500.0,87500.0
United States,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,30,80000.0,80000.0
United States,Employed full-time,Medium,Embedded applications or devices developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,144000.0,144000.0
Germany,Employed full-time,Medium,Desktop or enterprise applications developer,10,Contributed to open source software,30,4600.0,67560.0
United States,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,30,95000.0,95000.0
United Kingdom,Employed full-time,High,Data or business analyst,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,38000.0,52783.0
United Kingdom,Employed full-time,High,Engineering manager,19,Completed an industry certification program (e.g. MCPD),40,58000.0,80564.0
United States,Employed full-time,High,Full-stack developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,135000.0,135000.0
Canada,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,65000.0,52339.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,80000.0
United States,Employed full-time,High,Game or graphics developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,65000.0,65000.0
United States,Employed full-time,High,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,150000.0,150000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,51000.0,51000.0
United States,Employed full-time,Medium,Designer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,76000.0,76000.0
United States,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,114000.0,114000.0
Germany,Employed full-time,High,Back-end developer,7,Received on-the-job training in software development,30,45000.0,55075.0
India,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",5,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,16908.0
Germany,Employed full-time,High,Back-end developer,19,Participated in a full-time developer training program or bootcamp,40,5200.0,76368.0
United States,Employed full-time,Medium,Mobile developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,135000.0,135000.0
United Kingdom,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,27000.0,37504.0
Canada,Employed full-time,Medium,Back-end developer,5,Completed an industry certification program (e.g. MCPD),40,55000.0,44287.0
United States,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,120000.0,120000.0
United States,Employed full-time,High,Desktop or enterprise applications developer,30,Taken an online course in programming or software development (e.g. a MOOC),60,109075.2,109075.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,79000.0,79000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,50000.0,50000.0
United States,Employed full-time,High,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,124000.0,124000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),50,83000.0,83000.0
Canada,Employed full-time,High,Data scientist or machine learning specialist,5,Taken an online course in programming or software development (e.g. a MOOC),40,90000.0,72469.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,29000.0,29000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,80000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,140000.0,140000.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,185000.0,185000.0
Canada,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,77500.0,62404.0
Canada,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,45000.0,36235.0
United Kingdom,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,40,44500.0,61812.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,82000.0,82000.0
United States,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,101200.0,101200.0
India,Employed full-time,Medium,Full-stack developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,49000.0,9204.0
United States,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,170000.0,170000.0
Germany,Employed part-time,Low,Desktop or enterprise applications developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,400.0,5880.0
United States,Employed full-time,Medium,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,165000.0,165000.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,75000.0,2000000.0
United States,Employed full-time,Medium,Front-end developer,10,Received on-the-job training in software development,30,80000.0,80000.0
United States,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,125000.0,125000.0
Canada,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,68443.0
United Kingdom,Employed full-time,High,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),30,40000.0,55562.0
United Kingdom,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,44000.0,61118.0
United States,Employed full-time,Medium,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),30,6300.0,75600.0
Germany,Employed full-time,Low,Back-end developer,30,Received on-the-job training in software development,21,650.0,9552.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,210000.0,210000.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Completed an industry certification program (e.g. MCPD),30,55000.0,76397.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,55000.0,76397.0
United States,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,130000.0,130000.0
United States,Employed full-time,High,Mobile developer,10,Taken a part-time in-person course in programming or software development,30,190000.0,190000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,1250000.0,19568.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,67000.0,67000.0
India,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,7500000.0,117408.0
United Kingdom,Employed full-time,Medium,DevOps specialist,1,Taken an online course in programming or software development (e.g. a MOOC),21,24500.0,408372.0
United States,Employed full-time,High,Full-stack developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,76000.0,2000000.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,200000.0,200000.0
United Kingdom,Employed full-time,High,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),40,38000.0,52783.0
India,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,1200000.0,18785.0
United Kingdom,Employed full-time,Medium,Full-stack developer,5,Received on-the-job training in software development,30,35000.0,48616.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",40,105000.0,105000.0
India,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,16666.0,3132.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,130000.0,130000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,53000.0,53000.0
United States,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,175000.0,175000.0
United States,Employed full-time,Medium,Mobile developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,121000.0,121000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,72500.0,72500.0
India,Employed full-time,Medium,Mobile developer,7,"Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",30,60000.0,11268.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,90000.0
Canada,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,4000.0,38652.0
India,Employed full-time,High,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,270000.0,4227.0
Canada,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,50,79000.0,63612.0
Germany,Employed full-time,High,Designer,13,Received on-the-job training in software development,40,66000.0,80776.0
India,Employed full-time,High,Engineering manager,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,150000.0,28176.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,23000.0,31948.0
United Kingdom,Employed full-time,Medium,Back-end developer,13,Participated in a full-time developer training program or bootcamp,40,52000.0,72230.0
United States,Employed full-time,Medium,Back-end developer,7,Completed an industry certification program (e.g. MCPD),30,52000.0,52000.0
India,Employed full-time,Medium,Desktop or enterprise applications developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,1500000.0,23482.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,92500.0,92500.0
Germany,Employed full-time,Low,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,30000.0,36716.0
United States,Employed full-time,Medium,Mobile developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,103000.0,103000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken a part-time in-person course in programming or software development,30,78000.0,78000.0
United States,Employed full-time,Medium,Back-end developer,22,Taken a part-time in-person course in programming or software development,40,140000.0,140000.0
Canada,Employed full-time,Medium,Full-stack developer,10,Taken an online course in programming or software development (e.g. a MOOC),50,59800.0,48152.0
India,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,1300.0,15600.0
United Kingdom,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,46000.0,63896.0
United States,Employed full-time,Medium,Back-end developer,16,Participated in a full-time developer training program or bootcamp,50,150000.0,150000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,48000.0,48000.0
Germany,Employed full-time,Medium,Desktop or enterprise applications developer,5,Participated in a full-time developer training program or bootcamp,30,65000.0,79552.0
Germany,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,4000.0,58752.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,13,Completed an industry certification program (e.g. MCPD),30,115000.0,115000.0
United States,Employed full-time,Medium,Full-stack developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,45000.0,45000.0
United States,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,85000.0,85000.0
United Kingdom,Employed part-time,Medium,Engineering manager,7,Taken an online course in programming or software development (e.g. a MOOC),50,51000.0,70841.0
United States,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,130000.0,130000.0
United Kingdom,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,46500.0,64590.0
Canada,Employed full-time,Medium,Desktop or enterprise applications developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,70000.0,56365.0
Canada,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,90000.0,72469.0
Germany,Employed part-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,300.0,4404.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,92000.0,92000.0
United States,Employed full-time,Low,Front-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,111000.0,111000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,300000.0,300000.0
United States,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,30,101000.0,101000.0
United Kingdom,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,50000.0,69452.0
United Kingdom,Employed full-time,High,Embedded applications or devices developer,19,Received on-the-job training in software development,40,56000.0,933432.0
Canada,Employed part-time,Medium,Student,0,"Taught yourself a new language, framework, or tool without taking a formal course",21,25000.0,20130.0
Germany,Employed full-time,High,Desktop or enterprise applications developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,50000.0,61194.0
Germany,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,43000.0,52627.0
Germany,Employed part-time,Low,Back-end developer,5,Completed an industry certification program (e.g. MCPD),21,700.0,10284.0
United Kingdom,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,55000.0,67313.0
United States,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",22,Taken an online course in programming or software development (e.g. a MOOC),30,180000.0,180000.0
United States,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,105000.0,105000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,78000.0,78000.0
United States,Employed full-time,High,Designer,30,Received on-the-job training in software development,65 years or older,72000.0,72000.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,24000.0,33337.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,89161.0,89161.0
United States,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,500000.0,500000.0
Germany,Employed full-time,Medium,DevOps specialist,1,Taken an online course in programming or software development (e.g. a MOOC),30,4500.0,66084.0
United States,Employed full-time,High,QA or test developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,125000.0,125000.0
Germany,Employed full-time,Low,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,2400.0,35244.0
India,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,75000.0,14088.0
United States,Employed full-time,Medium,Designer,5,Taken an online course in programming or software development (e.g. a MOOC),30,58000.0,58000.0
Canada,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,90000.0,72469.0
United Kingdom,Employed full-time,High,Mobile developer,5,Contributed to open source software,30,80000.0,111123.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,21,55000.0,55000.0
India,Employed full-time,Medium,Designer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,18000.0,3384.0
United States,Employed full-time,High,Full-stack developer,16,Completed an industry certification program (e.g. MCPD),40,135000.0,135000.0
United States,Employed full-time,Medium,Full-stack developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,90000.0,90000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,103500.0,103500.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,99000.0,99000.0
Canada,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",1,Taken an online course in programming or software development (e.g. a MOOC),21,0.0,0.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,30,102000.0,102000.0
United States,Employed full-time,Medium,Front-end developer,1,Participated in a full-time developer training program or bootcamp,21,95000.0,95000.0
Canada,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,56.5,43.849650000000004
India,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,25000.0,4692.0
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,9396.0
India,Employed full-time,Medium,Mobile developer,7,Received on-the-job training in software development,30,768000.0,144276.0
United States,Employed full-time,High,Data or business analyst,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,132000.0,132000.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,500000.0,7827.0
United States,Employed full-time,Medium,Back-end developer,25,"Taught yourself a new language, framework, or tool without taking a formal course",40,123000.0,123000.0
United Kingdom,Employed full-time,Medium,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),60,79000.0,109734.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,50000.0,9396.0
United States,Employed full-time,High,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),30,88000.0,88000.0
United States,Employed full-time,Medium,Front-end developer,1,Received on-the-job training in software development,21,65000.0,65000.0
United Kingdom,Employed full-time,High,Back-end developer,10,Taken a part-time in-person course in programming or software development,30,60000.0,1000000.0
United Kingdom,Employed full-time,High,Back-end developer,19,Taken a part-time in-person course in programming or software development,50,37000.0,51394.0
United States,Employed full-time,Medium,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,61000.0,61000.0
United States,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,1200.0,60000.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,40,129000.0,129000.0
India,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,9396.0
United States,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,93000.0,93000.0
Germany,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,4000.0,58752.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,89200.0,89200.0
United States,Employed full-time,High,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,74000.0,2000000.0
Germany,Employed full-time,High,Data or business analyst,19,Taken an online course in programming or software development (e.g. a MOOC),30,130000.0,159104.0
United States,Employed full-time,High,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),30,103000.0,103000.0
United States,Employed full-time,Medium,Data or business analyst,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,70000.0,70000.0
United Kingdom,Employed full-time,High,Back-end developer,10,Received on-the-job training in software development,40,70000.0,97233.0
United States,Employed full-time,Medium,Front-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,83000.0,83000.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,25000.0,416712.0
United States,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,97500.0,97500.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,21,48000.0,66674.0
United States,Employed full-time,Medium,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,126000.0,126000.0
United States,Employed full-time,Medium,Data scientist or machine learning specialist,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,67000.0,67000.0
United States,Employed full-time,High,Full-stack developer,7,Received on-the-job training in software development,30,140000.0,1680000.0
United States,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,200000.0,200000.0
