Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
Canada,Employed full-time,Medium,Full-stack developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,92500.0,74482.0
Germany,Employed part-time,Low,Database administrator,1,Received on-the-job training in software development,21,600.0,654.0
United States,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,90000.0,1080000.0
United Kingdom,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",7,Taken an online course in programming or software development (e.g. a MOOC),30,65000.0,90288.0
Germany,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,122388.0
Germany,Employed part-time,Low,Embedded applications or devices developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,800.0,11748.0
United States,Employed full-time,Medium,Back-end developer,30,Taken an online course in programming or software development (e.g. a MOOC),60,100000.0,100000.0
United States,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),40,60000.0,60000.0
India,Employed full-time,Medium,Data scientist or machine learning specialist,5,Taken an online course in programming or software development (e.g. a MOOC),30,1700000.0,26612.0
India,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,100000.0,18780.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,16875.0,23440.0
India,Employed full-time,High,Mobile developer,1,Received on-the-job training in software development,30,228000.0,3569.0
United States,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,95000.0,1140000.0
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,120000.0,1879.0
Germany,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,21,65000.0,79552.0
India,Employed full-time,Medium,QA or test developer,13,Received on-the-job training in software development,30,3000000.0,46963.0
India,Employed full-time,High,Back-end developer,7,Received on-the-job training in software development,30,520000.0,8140.0
United States,Employed full-time,Medium,Back-end developer,10,Taken a part-time in-person course in programming or software development,30,81000.0,81000.0
United States,Employed full-time,Medium,Designer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,65000.0,65000.0
Germany,Employed full-time,Low,Back-end developer,7,Contributed to open source software,30,48000.0,58746.0
United Kingdom,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,38000.0,52783.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,60000.0,60000.0
Germany,Employed full-time,Medium,Back-end developer,5,Participated in a hackathon,21,650.0,9552.0
India,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,2460000.0,38510.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,105000.0,105000.0
United Kingdom,Employed full-time,Medium,System administrator,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,34000.0,47227.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,100000.0
United States,Employed part-time,Medium,QA or test developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,52000.0,2000000.0
United States,Employed full-time,High,Database administrator,7,Completed an industry certification program (e.g. MCPD),30,140000.0,140000.0
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,38000.0,7140.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,59500.0,59500.0
India,Employed full-time,Medium,Mobile developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,15000.0,2820.0
United Kingdom,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,37000.0,51394.0
United Kingdom,Employed full-time,High,Back-end developer,16,Participated in a full-time developer training program or bootcamp,40,60000.0,83342.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,21,45000.0,62507.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,72500.0,72500.0
United Kingdom,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,47000.0,65285.0
United States,Employed full-time,Medium,Front-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,75000.0
United States,Employed full-time,High,System administrator,22,Taken an online course in programming or software development (e.g. a MOOC),60,70000.0,70000.0
United States,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,185000.0,185000.0
India,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,1400000.0,21916.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,125000.0,125000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,500.0,25000.0
Germany,Employed full-time,Low,Back-end developer,1,Taken a part-time in-person course in programming or software development,30,575.0,8448.0
United States,Employed full-time,Medium,Front-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,32000.0,32000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,240000.0,3757.0
United Kingdom,Employed full-time,High,Back-end developer,13,Received on-the-job training in software development,30,4530.0,75504.0
Germany,Employed full-time,High,Data scientist or machine learning specialist,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,3600.0,52872.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,91000.0,126403.0
United States,Employed full-time,High,Back-end developer,13,Received on-the-job training in software development,40,235000.0,235000.0
United Kingdom,Employed full-time,Medium,Full-stack developer,10,Received on-the-job training in software development,30,40000.0,55562.0
United States,Employed full-time,Medium,Front-end developer,5,Taken a part-time in-person course in programming or software development,30,125000.0,125000.0
United States,Employed full-time,Medium,Back-end developer,13,Received on-the-job training in software development,30,155000.0,155000.0
Canada,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,65000.0,52339.0
United States,Employed full-time,High,Data scientist or machine learning specialist,10,Taken an online course in programming or software development (e.g. a MOOC),40,113000.0,113000.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,127000.0,127000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,47000.0,47000.0
United States,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,110000.0,110000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,750000.0,11741.0
United States,Employed part-time,Medium,Full-stack developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,200.0,10000.0
United States,Employed full-time,Medium,Back-end developer,25,Taken an online course in programming or software development (e.g. a MOOC),40,64000.0,64000.0
United States,Employed full-time,Medium,System administrator,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,90000.0,90000.0
Canada,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,54000.0,43482.0
United States,Employed full-time,Medium,"C-suite executive (CEO, CTO, etc.)",10,"Taught yourself a new language, framework, or tool without taking a formal course",30,140000.0,140000.0
United States,Employed full-time,High,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,96000.0,96000.0
Canada,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),30,60000.0,48313.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,94600.0,94600.0
United Kingdom,Employed full-time,High,Back-end developer,5,Taken a part-time in-person course in programming or software development,30,45000.0,62507.0
Germany,Employed part-time,Low,Full-stack developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,1500.0,22032.0
United Kingdom,Employed part-time,High,Data scientist or machine learning specialist,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,43000.0,59729.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,105000.0,105000.0
United States,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,80000.0,80000.0
Canada,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,75000.0,1000000.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,25000.0,34726.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,106000.0,106000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,62000.0,86120.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,303140.0,4745.0
United States,Employed full-time,Medium,Data or business analyst,5,Taken an online course in programming or software development (e.g. a MOOC),30,50000.0,2000000.0
India,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,10000.0,1884.0
India,Employed full-time,High,Full-stack developer,5,Participated in a full-time developer training program or bootcamp,30,95000.0,1311.95
United States,Employed full-time,Medium,Back-end developer,25,"Taught yourself a new language, framework, or tool without taking a formal course",50,90000.0,90000.0
United States,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,91000.0,91000.0
United States,Employed full-time,Medium,Back-end developer,19,Participated in a full-time developer training program or bootcamp,40,112000.0,112000.0
Canada,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,71000.0,57170.0
United States,Employed full-time,High,DevOps specialist,19,Taken an online course in programming or software development (e.g. a MOOC),40,120000.0,120000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,130000.0,130000.0
United Kingdom,Employed full-time,Medium,Designer,10,Taken an online course in programming or software development (e.g. a MOOC),30,42000.0,58340.0
United States,Employed full-time,Medium,Back-end developer,22,Taken a part-time in-person course in programming or software development,40,78000.0,78000.0
India,Employed full-time,Medium,Mobile developer,7,Taken a part-time in-person course in programming or software development,30,910000.0,12567.099999999999
United States,Employed full-time,Medium,System administrator,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,55000.0,55000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,75000.0
Canada,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,75000.0,60391.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,700000.0,10958.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,70000.0,70000.0
India,Employed full-time,Medium,Designer,5,Taken an online course in programming or software development (e.g. a MOOC),30,350000.0,5479.0
United States,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,58000.0,58000.0
United States,Employed full-time,High,Back-end developer,5,Received on-the-job training in software development,30,280000.0,280000.0
United Kingdom,Employed full-time,Medium,Desktop or enterprise applications developer,22,"Taught yourself a new language, framework, or tool without taking a formal course",30,77000.0,106956.0
United States,Employed full-time,High,Database administrator,5,Taken an online course in programming or software development (e.g. a MOOC),30,53000.0,53000.0
United States,Employed full-time,High,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,162100.0,162100.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,68000.0,68000.0
United States,Employed full-time,Medium,Mobile developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,75000.0,75000.0
United States,Employed full-time,Low,Full-stack developer,5,Received on-the-job training in software development,21,57000.0,684000.0
Canada,Employed full-time,Medium,Back-end developer,5,Completed an industry certification program (e.g. MCPD),21,66000.0,53144.0
India,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,380000.0,5247.8
United States,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,80000.0,80000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,23.0,0.0
Germany,Employed full-time,Medium,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),30,3500.0,51408.0
Canada,Employed full-time,Medium,Data or business analyst,5,Taken an online course in programming or software development (e.g. a MOOC),21,57000.0,45897.0
